periodo_ms,t_vuelta_us,voltaje,t_voltaje_us,vuelta
49,82677,0.16758068,414,0
48,133339,0.11440604,690,0
48,183977,0.435165936,950,0
49,234889,0.219194308,1207,0
48,285518,0.47947812,1464,0
48,336167,0.5431266,1721,0
48,386820,0.48511784,1979,0
48,437203,0.36824448,2237,0
48,488099,0.44805676,2492,0
48,538747,0.46981004,2749,0
48,589383,0.26350652,3006,0
48,640008,0.304596,3263,0
48,690653,0.09909819,3520,0
48,741290,0.0,3777,0
49,792185,0.5254017,4034,0
48,842822,0.427109168,4292,0
,,0.0,4548,0
,,0.18933394,4805,0
,,0.6422751,5063,0
,,0.05075761,5319,0
,,0.19577934,5576,0
,,0.0,5833,0
,,0.0,6090,0
,,0.25625542,6348,0
,,0.0,6604,0
,,0.0,6862,0
,,0.27881438,7118,0
,,0.0,7374,0
,,0.0,7631,0
,,0.0,7888,0
,,0.19013962,8145,0
,,0.0,8401,0
,,0.0,8658,0
,,0.0,8915,0
,,0.0,9172,0
,,0.01772488,9429,0
,,0.010473792,9687,0
,,0.0,9944,0
,,0.0,10201,0
,,0.0,10457,0
,,0.0,10713,0
,,0.0,10970,0
,,0.0,11226,0
,,0.0,11482,0
,,0.0,11738,0
,,0.0,11995,0
,,0.0,12252,0
,,0.0,12510,0
,,0.0,12767,0
,,0.0,13023,0
,,0.0,13282,0
,,0.12004577,13539,0
,,0.049146256,13797,0
,,0.0,14053,0
,,0.17080338,14310,0
,,0.0,14566,0
,,0.381135268,14823,0
,,0.004028382,15080,0
,,0.08137331,15336,0
,,0.0,15592,0
,,0.0,15850,0
,,0.60516364,16109,0
,,0.0,16365,0
,,0.43919432,16623,0
,,0.076539256,16879,0
,,0.08298466,17136,0
,,0.0,17392,0
,,0.14985579,17650,0
,,0.0,17907,0
,,0.371467136,18164,0
,,0.25222704,18421,0
,,0.28606544,18677,0
,,0.17080338,18934,0
,,0.07170519,19191,0
,,0.06687114,19448,0
,,0.0918471,19705,0
,,0.07895628,19962,0
,,0.1401877,20218,0
,,0.06284276,20475,0
,,0.2264454,20731,0
,,0.28928816,20988,0
,,0.42146944,21245,0
,,0.5987182,21502,0
,,0.4907576,21758,0
,,0.5165392,22015,0
,,0.28203704,22273,0
,,0.57454792,22530,0
,,0.32715496,22788,0
,,0.32715496,23045,0
,,0.19336232,23302,0
,,0.176443132,23559,0
,,0.5205676,23816,0
,,0.3158755,24072,0
,,0.065259784,24329,0
,,0.022558938,24587,0
,,0.0,24844,0
,,0.229668116,25102,0
,,0.0,25359,0
,,0.08943007,25617,0
,,0.994406032,25873,0
,,0.0,26131,0
,,0.04350652,26389,0
,,0.13857633,26646,0
,,0.0,26902,0
,,0.0,27160,0
,,0.6285786,27416,0
,,0.016919204,27673,0
,,0.2433646,27932,0
,,0.0,28187,0
,,0.030615702,28444,0
,,0.0,28701,0
,,0.0,28959,0
,,0.0,29214,0
,,0.02658732,29470,0
,,0.0,29726,0
,,0.0,29984,0
,,0.0,30241,0
,,0.0,30498,0
,,0.0,30754,0
,,0.0,31011,0
,,0.0,31268,0
,,0.0,31526,0
,,0.0,31789,0
,,0.0,32049,0
,,0.0,32308,0
,,0.0,32568,0
,,0.0,32826,0
,,0.0,33083,0
,,0.0,33339,0
,,0.0,33608,0
,,0.0,33866,0
,,0.0,34124,0
,,0.0,34384,0
,,0.016919204,34640,0
,,0.0,34899,0
,,0.33279468,35157,0
,,0.12649119,35415,0
,,0.15066147,35673,0
,,0.0,35929,0
,,0.8928908,36186,0
,,0.26431218,36444,0
,,1.0347401,36702,0
,,0.0,36959,0
,,0.196585032,37217,0
,,0.1401877,37475,0
,,0.12487984,37733,0
