periodo_ms,t_vuelta_us,voltaje,t_voltaje_us,vuelta
64,111710,1.94535584,427,0
64,178806,1.9961135,707,0
64,245907,2.0581506,969,0
64,312744,2.021895,1226,0
64,379820,1.97919432,1485,0
64,446897,1.97758284,1741,0
64,513998,1.9993362,1997,0
64,580826,1.97758284,2255,0
64,647918,1.99208516,2511,0
64,715002,1.9977249,2768,0
,,1.98402832,3026,0
,,1.9799999,3281,0
,,1.9816114,3539,0
,,2.001753,3795,0
,,1.9759716,4052,0
,,1.9735546,4309,0
,,1.96630352,4566,0
,,1.9671092,4824,0
,,1.9292424,5081,0
,,1.92440832,5338,0
,,1.92038,5594,0
,,1.89218132,5851,0
,,1.87365068,6108,0
,,1.84943016,6365,0
,,1.81962,6623,0
,,1.7591942,6880,0
,,0.9629847,7136,0
,,1.5101899,7394,0
,,1.3514214,7651,0
,,0.6059693,7907,0
,,0.5737423,8164,0
,,0.2949279,8421,0
,,0.96781868,8678,0
,,0.7276768,8936,0
,,0.9968231,9193,0
,,0.3150698,9450,0
,,0.8397162,9707,0
,,0.8114672,9965,0
,,0.41744108,10222,0
,,0.93800868,10479,0
,,0.451279468,10736,0
,,1.2031266,10992,0
,,0.8074388,11250,0
,,1.5504737,11507,0
,,1.8212314,11763,0
,,1.792227,12021,0
,,1.8833188,12277,0
,,1.89056984,12533,0
,,1.92440832,12790,0
,,1.95180132,13047,0
,,1.9630808,13302,0
,,1.95985808,13559,0
,,1.9799999,13816,0
,,1.9953078,14072,0
,,1.98886252,14329,0
,,2.0130326,14585,0
,,1.9977249,14842,0
,,1.9187686,15098,0
,,1.9993362,15355,0
,,1.9928908,15611,0
,,2.0130326,15867,0
,,2.007393,16125,0
,,2.0065872,16381,0
,,2.0081988,16638,0
,,1.9993362,16894,0
,,2.0081988,17151,0
,,2.007393,17408,0
,,2.0404258,17664,0
,,2.0162554,17921,0
,,2.0001418,18178,0
,,2.027535,18435,0
,,1.9977249,18693,0
,,1.98966816,18950,0
,,2.0114214,19208,0
,,2.059762,19465,0
,,2.027535,19722,0
,,2.0315632,19979,0
,,2.034786,20236,0
,,2.0106158,20493,0
,,2.012227,20750,0
,,2.0243122,21007,0
,,1.9630808,21264,0
,,2.0009474,21522,0
,,1.9630808,21778,0
,,1.99208516,22035,0
,,1.98483408,22292,0
,,1.98805668,22549,0
,,1.9606638,22805,0
,,1.9638864,23062,0
,,1.98966816,23318,0
,,1.952607,23574,0
,,1.927631,23832,0
,,1.89943232,24090,0
,,1.86478832,24346,0
,,1.8204258,24604,0
,,1.6713756,24862,0
,,1.5649758,25118,0
,,1.5577248,25374,0
,,1.7189104,25631,0
,,1.675404,25889,0
,,1.517441,26146,0
,,1.4771572,26403,0
,,1.817203,26660,0
,,1.4819913,26917,0
,,1.5827008,27173,0
,,1.6794324,27430,0
,,1.74872052,27687,0
,,1.7664454,27945,0
,,1.799478,28202,0
,,1.76241716,28459,0
,,1.812369,28717,0
,,1.9147402,28973,0
,,1.8800962,29229,0
,,1.888153,29488,0
,,1.93246516,29744,0
,,1.9630808,30001,0
,,1.9219912,30258,0
,,1.95099568,30515,0
,,1.972749,30771,0
,,1.9743602,31029,0
,,1.97919432,31286,0
,,1.98886252,31544,0
,,1.9711375,31801,0
,,1.9904738,32058,0
,,1.9816114,32315,0
,,2.021895,32571,0
,,1.9953078,32829,0
,,2.0033646,33086,0
,,1.9936964,33343,0
,,2.0081988,33600,0
,,2.0009474,33856,0
,,2.0210892,34114,0
,,2.0106158,34372,0
,,1.98966816,34628,0
,,1.9993362,34885,0
,,1.9904738,35142,0
,,1.99208516,35398,0
,,2.0106158,35655,0
,,2.0065872,35911,0
,,1.9977249,36168,0
,,1.9904738,36426,0
,,2.0154498,36683,0
,,1.982417,36939,0
,,1.95421832,37195,0
,,1.96630352,37453,0
,,1.9783886,37710,0
,,1.95180132,37967,0
,,1.9799999,38224,0
,,1.95985808,38481,0
,,1.9389105,38737,0
,,1.8043122,38994,0
,,1.8357336,39250,0
,,2.0436484,39507,0
,,1.7334126,39763,0
,,1.4731289,40020,0
,,1.2531288,40277,0
,,1.152369,40534,0
,,0.8606637,40790,0
,,0.7349279,41047,0
,,0.03544976,41304,0
,,0.5624628,41561,0
,,0.2167773,41817,0
,,0.356965,42075,0
,,0.7139803,42332,0
,,0.655166,42589,0
,,0.7840742,42845,0
,,0.46094756,43103,0
,,0.80663304,43360,0
,,0.57615924,43616,0
,,0.8146899,43873,0
,,0.85663532,44131,0
,,0.980709568,44387,0
,,1.1805676,44643,0
,,1.5311376,44911,0
,,1.7471092,45170,0
,,1.9123232,45429,0
,,1.91071184,45687,0
,,1.95744116,45945,0
,,1.94535584,46202,0
,,1.9606638,46461,0
,,1.975166,46717,0
,,1.97919432,46974,0
,,1.9614694,47245,0
,,1.99127952,47501,0
,,2.0057814,47760,0
,,2.049288,48019,0
,,2.001753,48276,0
,,2.0106158,48535,0
,,2.0081988,48794,0
,,1.98966816,49052,0
,,1.96469216,49310,0
,,1.9816114,49567,0
,,2.0033646,49825,0
,,2.0202836,50081,0
,,2.0057814,50338,0
,,2.0009474,50595,0
,,2.0057814,50854,0
,,2.027535,51110,0
,,2.0210892,51367,0
,,1.9977249,51624,0
,,2.0065872,51882,0
,,2.0210892,52139,0
,,2.0178666,52396,0
,,2.0283406,52651,0
,,2.021895,52909,0
,,2.067869,53165,0
,,2.0162554,53423,0
,,2.0049758,53679,0
,,2.0106158,53937,0
,,2.0001418,54193,0
,,1.987251,54451,0
,,2.0009474,54707,0
,,1.98563968,54965,0
,,1.9783886,55221,0
,,1.97919432,55478,0
,,1.982417,55734,0
,,1.95744116,55992,0
,,1.9421332,56248,0
,,1.9381048,56505,0
,,1.9389105,56762,0
,,1.90426636,57017,0
,,1.870428,57274,0
,,1.8663996,57531,0
,,1.7753078,57787,0
,,1.7116594,58045,0
,,1.5456398,58304,0
,,1.2337422,58561,0
,,0.95815052,58819,0
,,0.9194781,59076,0
,,1.4972992,59332,0
,,1.3699518,59590,0
,,0.6156375,59845,0
,,1.4327946,60102,0
,,1.1837903,60359,0
,,1.2523232,60616,0
,,1.5802838,60872,0
,,1.1443122,61129,0
,,1.3393362,61387,0
,,1.4118471,61643,0
,,1.900238,61899,0
,,1.9082948,62155,0
,,1.8397618,62412,0
,,1.8809018,62670,0
,,1.9316594,62926,0
,,1.9316594,63183,0
,,1.9485786,63440,0
,,1.9389105,63697,0
,,1.9437446,63954,0
,,1.9759716,64212,0
,,1.9799999,64469,0
,,1.9759716,64726,0
,,1.9735546,64982,0
,,1.9735546,65239,0
,,1.982417,65496,0
,,1.98644532,65753,0
,,1.982417,66009,0
,,1.9928908,66265,0
,,2.0090044,66523,0
,,1.9993362,66779,0
,,2.0081988,67035,0
,,2.00981,67291,0
,,2.0227008,67548,0
,,1.99208516,67804,0
,,1.99208516,68061,0
,,2.0009474,68320,0
,,1.99853052,68575,0
,,1.9961135,68832,0
,,2.0235066,69090,0
,,1.9743602,69347,0
,,1.97919432,69606,0
,,1.9566354,69864,0
,,1.9743602,70121,0
,,1.97919432,70378,0
,,1.9211856,70634,0
,,1.93971616,70891,0
,,1.95824668,71148,0
,,1.9477729,71405,0
,,1.955024,71662,0
,,1.9413274,71919,0
,,1.909906,72175,0
,,1.95744116,72433,0
,,1.87365068,72690,0
,,1.854264,72948,0
,,1.7245502,73205,0
,,1.7712794,73464,0
,,1.3554497,73720,0
,,1.0516595,73975,0
,,0.94123132,74232,0
,,0.59791256,74490,0
,,0.39886012,74747,0
,,0.29573356,75005,0
,,0.23853054,75262,0
,,0.6914214,75519,0
,,0.20791486,75776,0
,,0.213554584,76032,0
,,0.33037764,76289,0
,,0.19577934,76546,0
,,0.28525978,76802,0
,,0.23611354,77059,0
,,0.44805676,77317,0
,,0.5600457,77574,0
,,0.65999996,77830,0
,,0.79293656,78086,0
,,1.104834,78343,0
,,1.517441,78598,0
,,1.4126527,78855,0
,,1.677821,79113,0
,,1.9904738,79370,0
,,1.9413274,79626,0
,,1.9389105,79883,0
,,1.95421832,80139,0
,,1.97919432,80395,0
,,1.9679148,80650,0
,,1.95019,80907,0
,,2.0041702,81164,0
,,1.97758284,81421,0
,,2.0009474,81677,0
,,1.9961135,81935,0
,,2.0065872,82193,0
,,1.99208516,82450,0
,,1.99853052,82708,0
,,2.021895,82964,0
,,2.0186724,83222,0
,,2.0235066,83480,0
,,2.0283406,83736,0
