periodo,t_vuelta,voltaje,t_voltaje
49,9731193,2.0049758,9731144
49,9731244,1.85914852,9731144
49,9731295,1.2821332,9731144
50,9731347,1.7817532,9731145
49,9731398,1.95744116,9731145
50,9731450,2.2838406,9731145
50,9731501,2.0041702,9731145
49,9731552,1.8018952,9731146
50,9731604,2.125072,9731146
50,9731656,2.1701898,9731146
50,9731707,2.1766352,9731146
49,9731758,2.1645504,9731147
50,9731810,2.0767314,9731147
49,9731861,1.78900432,9731147
50,9731913,1.83815052,9731148
50,9731964,1.70279692,9731148
50,9732016,1.2224628,9731148
49,9732067,0.96217896,9731148
50,9732119,1.0887204,9731149
49,9732170,0.84777292,9731149
,,0.9122271,9731149
,,0.7454017,9731150
,,0.904975936,9731150
,,0.5995239,9731150
,,0.9396201,9731150
,,0.66080564,9731151
,,0.60838632,9731151
,,0.42146944,9731151
,,0.5278187,9731151
,,0.2433646,9731152
,,0.4222751,9731152
,,0.412606968,9731152
,,0.2602838,9731153
,,0.51251084,9731153
,,0.9130327,9731153
,,1.6205676,9731153
,,0.26511788,9731154
,,1.0766354,9731154
,,1.4642663,9731154
,,1.0419912,9731154
,,1.3409476,9731155
,,1.1757334,9731155
,,1.2297138,9731155
,,1.76322268,9731156
,,1.6012313,9731156
,,1.9743602,9731156
,,1.727773,9731156
,,2.1718014,9731157
,,1.99691932,9731157
,,2.0057814,9731157
,,1.9703318,9731158
,,2.0670634,9731158
,,1.97919432,9731158
,,2.0920394,9731158
,,1.83170516,9731159
,,1.82928816,9731159
,,1.9050721,9731159
,,1.922797,9731159
,,1.99691932,9731160
,,2.0452596,9731160
,,2.0694802,9731160
,,1.6407095,9731161
,,2.0380084,9731161
,,0.78810252,9731161
,,1.1958754,9731161
,,1.295024,9731162
,,0.87838868,9731162
,,0.84535584,9731162
,,0.84938424,9731162
,,0.90981,9731163
,,1.0185763,9731163
,,0.0,9731163
,,0.6358297,9731164
,,0.37066148,9731164
,,0.31909816,9731164
,,1.0983887,9731164
,,0.02417029,9731165
,,0.606775,9731165
,,0.27236894,9731165
,,0.028198672,9731166
,,0.39563744,9731166
,,0.481895168,9731166
,,0.72606548,9731166
,,0.53587544,9731167
,,0.5689082,9731167
,,0.42872052,9731167
,,0.7518471,9731167
,,0.744596,9731168
,,0.9790982,9731168
,,0.6881986,9731168
,,1.1032226,9731169
,,0.6914214,9731169
,,0.8437446,9731169
,,0.9895719,9731169
,,1.1362554,9731170
,,0.92914624,9731170
,,0.7486244,9731170
,,1.0274388,9731171
,,1.1749278,9731171
,,0.9057816,9731171
,,0.812272836,9731171
,,1.74549776,9731172
,,0.8203296,9731172
,,1.2740765,9731172
,,1.5206637,9731173
,,1.1708995,9731173
,,1.7140764,9731173
,,0.9927947,9731174
,,0.80985576,9731174
,,1.1418952,9731174
,,0.632607,9731174
,,1.1475348,9731175
,,0.409333936,9731175
,,1.3264455,9731175
,,0.50525976,9731175
,,1.0403799,9731176
,,1.012131,9731176
,,0.75668116,9731176
,,0.4028885,9731177
,,0.6487205,9731177
,,0.44483404,9731177
,,0.55198896,9731177
,,0.68094752,9731178
,,0.7163973,9731178
,,0.8558297,9731178
,,0.6543603,9731178
,,0.89853052,9731179
,,0.85099568,9731179
,,1.0492424,9731179
,,1.5947859,9731180
,,1.2015152,9731180
,,0.932369,9731180
,,1.68990608,9731180
,,1.6366811,9731181
,,1.485214,9731181
,,1.80592352,9731181
,,1.4747403,9731182
,,1.4392401,9731182
,,1.2103777,9731182
,,2.0186724,9731182
,,1.72535584,9731183
,,1.2764934,9731183
,,1.9123232,9731183
,,1.5818951,9731183
,,1.987251,9731184
,,1.8945984,9731184
,,1.9421332,9731184
,,2.0033646,9731185
,,1.7640284,9731185
,,1.3401419,9731185
,,1.2869673,9731185
,,1.6794324,9731186
,,1.3618951,9731186
,,1.2515174,9731186
,,1.3401419,9731186
,,1.4755459,9731187
,,0.85260696,9731187
,,0.7051179,9731187
,,0.7784344,9731188
,,0.74943008,9731188
,,0.467392984,9731188
,,0.475449736,9731188
,,0.45611356,9731189
,,0.29573356,9731189
,,0.16596932,9731189
,,0.38194096,9731190
,,0.07089952,9731190
,,0.06767681,9731190
,,0.3013733,9731190
,,0.3932204,9731191
,,0.211137552,9731191
,,0.21274892,9731191
,,0.4295262,9731191
,,0.579382,9731192
,,0.87838868,9731192
,,0.6946441,9731192
,,0.4730327,9731193
,,0.904975936,9731193
,,0.83165944,9731193
,,1.1265873,9731193
,,1.6390982,9731194
,,1.6213733,9731194
,,1.7406638,9731194
,,1.84298468,9731195
,,1.6633189,9731195
,,1.5408056,9731195
,,1.9050721,9731195
,,1.9808058,9731196
,,2.100096,9731196
,,2.1919432,9731196
,,2.234644,9731197
,,2.2652598,9731197
,,2.204834,9731197
,,2.315262,9731197
,,2.3966352,9731198
,,2.2846462,9731198
,,2.1742182,9731198
,,2.0605676,9731198
,,2.0243122,9731199
,,1.94455024,9731199
,,2.2249758,9731199
,,2.1234608,9731200
,,2.2999542,9731200
,,2.2185304,9731200
,,1.1515632,9731200
,,1.8768734,9731201
,,1.9155458,9731201
,,1.3715633,9731201
,,1.78497584,9731201
,,1.2853559,9731202
,,1.0516595,9731202
,,1.2023209,9731202
,,0.774406,9731203
,,1.1507576,9731203
,,1.344976,9731203
,,0.435971616,9731203
,,0.98393224,9731204
,,1.1990981,9731204
,,0.54876624,9731204
,,0.85180136,9731205
,,0.27881438,9731205
,,1.0597162,9731205
,,1.0524651,9731205
,,1.3320851,9731206
,,1.2232685,9731206
,,1.2442664,9731206
,,1.5738384,9731206
,,1.3602837,9731207
,,1.572227,9731207
,,1.6423209,9731207
,,1.6350697,9731208
,,1.69796284,9731208
,,1.2160174,9731208
,,1.4562095,9731208
,,1.5295262,9731209
,,1.5754498,9731209
,,1.7100481,9731209
,,1.76322268,9731210
,,1.2837444,9731210
,,1.3908995,9731210
,,1.6382926,9731210
,,1.2410437,9731211
,,1.2595742,9731211
,,1.2708538,9731211
,,1.3071091,9731211
,,0.83165944,9731212
,,1.3618951,9731212
,,0.82924232,9731212
,,0.94203704,9731213
,,0.8534126,9731213
,,0.2715633,9731213
,,0.907393,9731213
,,0.0,9731214
,,0.42630348,9731214
,,0.41094528,9731214
,,0.41094528,9731214
,,0.8106615,9731215
,,0.4295262,9731215
,,0.9033646,9731215
,,0.5382925,9731216
,,0.2917052,9731216
,,0.6229389,9731216
,,0.41175096,9731216
,,0.20383612,9731217
,,0.61971616,9731217
,,0.56165716,9731217
,,0.5262074,9731218
,,0.7051179,9731218
,,0.7832685,9731218
,,0.8558297,9731218
,,0.7792401,9731219
,,0.94525976,9731219
,,1.0081025,9731219
,,1.70199132,9731219
,,1.68990608,9731220
,,1.6012313,9731220
,,1.7092424,9731220
,,1.5408056,9731221
,,2.1073472,9731221
,,1.7414694,9731221
,,2.0500936,9731221
,,1.4747403,9731222
,,1.91957424,9731222
,,1.8663996,9731222
,,1.6915176,9731222
,,1.07019,9731223
,,2.0799542,9731223
,,1.812369,9731223
,,0.9025589,9731224
,,1.2555458,9731224
,,1.1378668,9731224
,,1.5762554,9731224
,,0.5455436,9731225
,,1.1354496,9731225
,,1.2087664,9731225
,,0.92431224,9731226
,,0.9130327,9731226
,,0.32151524,9731226
