periodo,t_vuelta,voltaje,t_voltaje
43,43,1.0282445,1
43,43,0.93156328,2
43,43,1.1209475,3
43,43,0.5439322,4
43,43,0.435165936,5
43,43,0.049951932,6
43,43,0.024975966,7
43,43,0.014502174,8
43,43,0.045117876,9
43,43,0.31909816,10
43,43,0.5181506,11
43,43,0.50525976,12
43,43,0.80663304,13
43,43,0.7856855,14
43,43,0.51251084,15
43,43,0.42549784,16
43,43,0.4198581,17
43,43,0.051563284,18
43,43,0.25867244,19
43,43,0.16838636,20
,,0.2917052,21
,,0.5689082,22
,,0.5689082,23
,,0.79696492,24
,,0.8735546,25
,,0.44161136,26
,,0.4295262,27
,,0.049146256,28
,,0.040283816,29
,,0.02658732,0
,,0.016113528,1
,,0.19013962,0
,,0.172414752,1
,,0.482700832,2
,,0.7252598,3
,,0.9428427,4
,,1.245072,5
,,0.98473792,6
,,0.93800868,7
,,0.78810252,8
,,0.44241704,9
,,0.25867244,10
,,0.053980312,11
,,0.356965,12
,,0.59066148,13
,,0.7035065,14
,,0.7752117,15
,,0.76796068,16
,,0.826019636,17
,,0.6164431,18
,,0.39644312,19
,,0.090235752,20
,,0.03947814,21
,,0.13213092,22
,,0.053980312,23
,,0.427109168,24
,,0.7107576,25
,,0.5552117,26
,,0.74943008,27
,,0.8268254,28
,,0.39724876,29
,,0.44161136,30
,,0.36905012,31
,,0.030615702,32
,,0.23127946,33
,,0.28203704,34
,,0.19497368,35
,,0.249004352,36
,,0.74298468,37
,,0.48914624,38
,,0.83649348,39
,,0.67933624,40
,,0.474644068,41
,,0.43194324,42
,,0.13696498,0
,,0.22080568,1
,,0.340045784,0
,,0.33440602,1
,,0.409333936,2
,,0.91142136,3
,,0.94525976,4
,,1.1435064,5
,,1.3264455,6
,,1.0911375,7
,,0.63018996,8
,,0.45450216,9
,,0.01772488,10
,,0.0193362308,11
,,0.2433646,12
,,0.11843443,13
,,0.63663536,14
,,1.0637446,15
,,0.85824668,16
,,0.8654978,17
,,0.7123689,18
,,0.385969336,19
,,0.31748684,20
,,0.26431218,21
,,0.1699977,22
,,0.33360036,23
,,0.467392984,24
,,0.6132204,25
,,0.7373449,26
,,0.664834,27
,,0.53023576,28
,,0.60113524,29
,,0.34649116,30
,,0.07976195,31
,,0.0096681152,32
,,0.0,33
,,0.04189517,34
,,0.24981002,35
,,0.4536965,36
,,0.524596,37
,,0.801799,38
,,0.95815052,39
,,0.474644068,40
,,0.6761135,41
,,0.200613416,42
,,0.20544746,0
,,0.05317464,1
,,0.20141908,0
,,0.30056764,1
,,0.34165712,2
,,0.85744104,3
,,1.1128907,4
,,1.07019,5
,,1.1120851,6
,,0.85180136,7
,,0.435971616,8
,,0.22483406,9
,,0.0,10
,,0.0,11
,,0.07009385,12
,,0.19175096,13
,,0.5390982,14
,,0.92431224,15
,,1.1096681,16
,,1.0597162,17
,,0.59066148,18
,,0.5922728,19
,,0.21194324,20
,,0.09909819,21
,,0.05962005,22
,,0.25303274,23
,,0.4367773,24
,,0.7615152,25
,,0.5044541,26
,,0.55037768,27
,,0.6616113,28
,,0.6559716,29
,,0.29895628,30
,,0.02658732,31
,,0.02175326,32
,,0.01772488,33
,,0.14905013,34
,,0.40611124,35
,,0.6221332,36
,,0.6938384,37
,,0.83407648,38
,,0.89853052,39
,,0.949288136,40
,,0.7599039,41
,,0.48511784,42
,,0.16113527,0
,,0.33762876,1
,,0.30379036,0
,,0.25947816,1
,,0.225639732,2
,,1.0274388,3
,,1.0161593,4
,,1.2837444,5
,,1.0790523,6
,,0.90175325,7
,,0.59468984,8
,,0.365021732,9
,,0.022558938,10
,,0.058814372,11
,,0.33762876,12
,,0.7123689,13
,,0.6479148,14
,,0.96137332,15
,,1.1515632,16
,,1.0524651,17
,,0.9396201,18
,,0.48028384,19
,,0.16355228,20
,,0.03947814,21
,,0.013696497,22
,,0.04189517,23
,,0.359382,24
,,0.26511788,25
,,0.5584344,26
,,0.6583887,27
,,0.50687116,28
,,0.5455436,29
,,0.24658732,30
,,0.034644084,31
,,0.23208516,32
,,0.07170519,33
,,0.1361593,34
,,0.384358,35
,,0.63985808,36
,,0.63905248,37
,,0.85099568,38
,,0.7389563,39
,,0.5173449,40
,,0.474644068,41
,,0.047534904,42
,,0.0378667868,43
,,0.016919204,0
,,0.0,1
,,0.207109168,0
,,0.16435798,1
,,0.36905012,2
,,0.706729236,3
,,0.97104148,4
,,1.0871091,5
,,1.1717051,6
,,0.94203704,7
,,0.692227,8
,,0.7437903,9
,,0.07170519,10
,,0.30298466,11
,,0.44483404,12
,,0.5399038,13
,,0.8219409,14
,,0.8961135,15
,,0.9041703,16
,,0.82763108,17
,,0.7582925,18
,,0.33762876,19
,,0.05720302,20
,,0.029004348,21
,,0.0,22
,,0.027392994,23
,,0.43113756,24
,,0.42146944,25
,,0.5753536,26
,,0.6350241,27
,,0.63341268,28
,,0.5366811,29
,,0.3360174,30
,,0.03544976,31
,,0.27800868,32
,,0.056397344,33
,,0.1401877,34
,,0.489951936,35
,,0.30056764,36
,,0.7872969,37
,,0.8413275,38
,,0.70995192,39
,,0.3803296,40
,,0.40127716,41
,,0.08781872,42
,,0.02417029,0
,,0.0,1
,,0.121657128,0
,,0.065259784,1
,,0.51089952,2
,,0.7123689,3
,,1.1040284,4
,,1.2410437,5
,,1.3191943,6
,,1.2031266,7
,,0.8001877,8
,,0.4915633,9
,,0.0362554368,10
,,0.086207376,11
,,0.12487984,12
,,0.172414752,13
,,0.47142136,14
,,0.7889082,15
,,0.57777068,16
,,0.88483408,17
,,0.736539236,18
,,0.31668116,19
,,0.29895628,20
,,0.027392994,21
,,0.040283816,22
,,0.350519536,23
,,0.385969336,24
,,0.5423209,25
,,0.6487205,26
,,0.8558297,27
,,0.75668116,28
,,0.5664912,29
,,0.42549784,30
,,0.05478599,31
,,0.0386724616,32
,,0.04834058,33
,,0.07976195,34
,,0.409333936,35
,,0.20383612,36
,,0.55440604,37
,,0.8461616,38
,,0.59388416,39
,,0.6680567,40
,,0.4907576,41
,,0.12085146,42
,,0.058814372,0
,,0.25222704,1
,,0.3666331,0
,,0.42388648,1
,,0.51251084,2
,,0.8146899,3
,,1.0298558,4
,,1.292607,5
,,1.1362554,6
,,0.94445416,7
,,0.6253559,8
,,0.31990388,9
,,0.12326848,10
,,0.028198672,11
,,0.034644084,12
,,0.45530784,13
,,0.46175324,14
,,0.87436024,15
,,1.0685786,16
,,0.7188144,17
,,0.705923568,18
,,0.6285786,19
,,0.15871824,20
,,0.20791486,21
,,0.3827466,22
,,0.05317464,23
,,0.4222751,24
,,0.67933624,25
,,0.6382467,26
,,0.69947816,27
,,0.62374452,28
,,0.57213084,29
,,0.412606968,30
,,0.2602838,31
,,0.01772488,32
,,0.0,33
,,0.008056764,34
,,0.21274892,35
,,0.4432227,36
,,0.53184708,37
,,0.78810252,38
,,1.0234103,39
,,0.49962004,40
,,0.4198581,41
,,0.2949279,42
,,0.09748684,43
,,0.10634928,0
,,0.23208516,1
,,0.200613416,0
,,0.5584344,1
,,0.7486244,2
,,0.5439322,3
,,0.8872511,4
,,1.1580087,5
,,0.8759716,6
,,1.014548,7
,,0.4665873,8
,,0.39644312,9
,,0.0725108736,10
,,0.0,11
,,0.0370611136,12
,,0.4883406,13
,,0.6527489,14
,,0.85744104,15
,,1.544834,16
,,1.2692423,17
,,0.7913253,18
,,0.7639323,19
,,0.30781874,20
,,0.1699977,21
,,0.15146714,22
,,0.121657128,23
,,0.365021732,24
,,0.6213275,25
,,0.29653924,26
,,0.5552117,27
,,0.4069169,28
,,0.25786676,29
,,0.18127718,30
,,0.090235752,31
,,0.04189517,32
,,0.01772488,33
,,0.040283816,34
,,0.46981004,35
,,0.6833646,36
,,0.88483408,37
,,0.94525976,38
,,0.89772488,39
,,0.6881986,40
,,0.3940261,41
,,0.20383612,42
,,0.13535362,43
,,0.209526216,0
,,0.09990387,1
,,0.2433646,0
,,0.39241476,1
,,0.37388416,2
,,0.63421832,3
,,0.8405218,4
,,1.0790523,5
,,0.8936965,6
,,1.0564934,7
,,0.6817533,8
,,0.1297139,9
,,0.26270086,10
,,0.04189517,11
,,0.21194324,12
,,0.63985808,13
,,0.84777292,14
,,0.8928908,15
,,1.2909956,16
,,1.0072968,17
,,0.7792401,18
,,0.724454036,19
,,0.25544976,20
,,0.098292516,21
,,0.03303273,22
,,0.049146256,23
,,0.12407415,24
,,0.70028376,25
,,0.77198904,26
,,0.5930785,27
,,0.7582925,28
,,0.3561593,29
,,0.3626047,30
,,0.41744108,31
,,0.27559168,32
,,0.17160906,33
,,0.33037764,34
,,0.4222751,35
,,0.44483404,36
,,0.9170611,37
,,0.8203296,38
,,0.8590524,39
,,0.8372991,40
,,0.31184712,41
,,0.06606546,42
,,0.040283816,0
,,0.02175326,1
,,0.2506157,0
,,0.05559167,1
,,0.244975968,2
,,0.705923568,3
,,1.1040284,4
,,1.0516595,5
,,1.2281024,6
,,1.1185305,7
,,0.58502176,8
,,0.39483176,9
,,0.29734492,10
,,0.10957198,11
,,0.3150698,12
,,0.7816571,13
,,0.7405676,14
,,1.0460197,15
,,1.2031266,16
,,0.8558297,17
,,0.68658732,18
,,0.79051952,19
,,0.2715633,20
,,0.0,21
,,0.0,22
,,0.05962005,23
,,0.27800868,24
,,0.7180087,25
,,0.6221332,26
,,0.8606637,27
,,0.68094752,28
,,0.5801877,29
,,0.37710688,30
,,0.3698558,31
,,0.11843443,32
,,0.24014192,33
,,0.20544746,34
,,0.26592352,35
,,0.4504738,36
,,0.65677724,37
,,0.8372991,38
,,0.8050217,39
,,0.5455436,40
,,0.1973907,41
,,0.074927896,42
,,0.0443122,0
,,0.30379036,1
,,0.0378667868,0
,,0.098292516,1
,,0.402082836,2
,,0.549572,3
,,0.9283406,4
,,1.2482948,5
,,1.0959716,6
,,0.9001419,7
,,0.5898558,8
,,0.5552117,9
,,0.0773449236,10
,,0.098292516,11
,,0.1699977,12
,,0.16435798,13
,,0.7236484,14
,,0.8961135,15
,,1.0193819,16
,,0.917866736,17
,,0.6245502,18
,,0.30298466,19
,,0.20141908,20
,,0.032227056,21
,,0.03544976,22
,,0.17966582,23
,,0.27559168,24
,,0.57051956,25
,,0.8469673,26
,,0.7590982,27
,,0.964596032,28
,,0.6519432,29
,,0.24819868,30
,,0.44725108,31
,,0.041089492,32
,,0.15307851,33
,,0.033838408,34
,,0.14260471,35
,,0.4036942,36
,,0.71559168,37
,,0.68094752,38
,,0.7776287,39
,,0.44241704,40
,,0.2917052,41
,,0.19819638,42
,,0.13132523,0
,,0.1603296,1
,,0.17563744,0
,,0.20222476,1
,,0.329572,2
,,0.63341268,3
,,1.1668711,4
,,1.1112794,5
,,1.1612314,6
,,1.102417,7
,,0.6269673,8
,,0.2514214,9
,,0.016113528,10
,,0.0,11
,,0.016919204,12
,,0.221611344,13
,,0.6229389,14
,,0.934785968,15
,,0.9895719,16
,,0.69706104,17
,,0.57051956,18
,,0.40611124,19
,,0.17966582,20
,,0.225639732,21
,,0.03947814,22
,,0.12246281,23
,,0.52862436,24
,,0.459336232,25
,,0.5060655,26
,,0.69947816,27
,,0.4464454,28
,,0.249004352,29
,,0.0386724616,30
,,0.045117876,31
,,0.022558938,32
,,0.0,33
,,0.029004348,34
,,0.180471508,35
,,0.606775,36
,,0.47142136,37
,,0.6890043,38
,,1.0903319,39
,,1.0048798,40
,,0.7317052,41
,,0.37227284,42
,,0.080567632,43
,,0.17080338,0
,,0.2506157,1
,,0.194168,0
,,0.5036484,1
,,0.5552117,2
,,0.742179,3
,,1.2676309,4
,,1.1290044,5
,,1.2499062,6
,,1.2402381,7
,,0.5737423,8
,,0.32312656,9
,,0.0193362308,10
,,0.0,11
,,0.42872052,12
,,0.364216068,13
,,0.70270088,14
,,1.1249759,15
,,1.0444083,16
,,0.8936965,17
,,0.8437446,18
,,0.6720851,19
,,0.23611354,20
,,0.207109168,21
,,0.041089492,22
,,0.063648424,23
,,0.45611356,24
,,0.63905248,25
,,0.46175324,26
,,0.30943006,27
,,0.5044541,28
,,0.2167773,29
,,0.2433646,30
,,0.045117876,31
,,0.049146256,32
,,0.010473792,33
,,0.05962005,34
,,0.25303274,35
,,0.6720851,36
,,0.6189105,37
,,1.1040284,38
,,0.92914624,39
,,0.5866331,40
,,0.5262074,41
,,0.206303484,42
,,0.12568552,43
,,0.18288852,0
,,0.229668116,1
,,0.44725108,0
,,0.19175096,1
,,0.3158755,2
,,0.5463493,3
,,0.8001877,4
,,0.91544976,5
,,0.95492784,6
,,0.6471092,7
,,0.6213275,8
,,0.3013733,9
,,0.049951932,10
,,0.08137331,11
,,0.31184712,12
,,0.38516364,13
,,1.0605218,14
,,0.97104148,15
,,1.0048798,16
,,0.9662073,17
,,0.7454017,18
,,0.459336232,19
,,0.33521172,20
,,0.058814372,21
,,0.014502174,22
,,0.209526216,23
,,0.2046418,24
,,0.414218332,25
,,0.6680567,26
,,0.5656855,27
,,0.6229389,28
,,0.36099336,29
,,0.37710688,30
,,0.28203704,31
,,0.14341038,32
,,0.2167773,33
,,0.194168,34
,,0.5971069,35
,,0.67933624,36
,,0.75668116,37
,,0.854218336,38
,,0.8090501,39
,,0.68014184,40
,,0.22080568,41
,,0.27962004,42
,,0.05075761,43
,,0.013696497,0
,,0.0064454108,1
,,0.0378667868,0
,,0.069288168,1
,,0.24255892,2
,,0.77279464,3
,,0.7752117,4
,,1.1064454,5
,,1.1128907,6
,,0.8389105,7
,,0.49398032,8
,,0.38355228,9
,,0.056397344,10
,,0.23289082,11
,,0.387580668,12
,,0.4069169,13
,,0.549572,14
,,0.9742641,15
,,1.0806637,16
,,1.2087664,17
,,0.606775,18
,,0.46094756,19
,,0.2046418,20
,,0.004028382,21
,,0.00080567632,22
,,0.33682304,23
,,0.381135268,24
,,0.410139616,25
,,0.85019,26
,,0.81307848,27
,,0.53748684,28
,,0.7075349,29
