periodo,t_vuelta,voltaje,t_voltaje
42,12055296,0.2232227,244074145
42,12055340,0.54876624,244074447
42,12055384,0.5963012,244074730
42,12055428,0.45450216,244075005
42,12055472,0.65033184,244075280
42,12055516,0.687393,244075558
42,12055560,0.5834104,244075834
42,12055604,0.66644544,244076110
42,12055648,0.57132524,244076384
42,12055692,0.356965,244076658
42,12055736,0.56487984,244076934
42,12055780,0.7961593,244077209
42,12055824,0.6487205,244077485
42,12055868,0.4778668,244077764
42,12055912,0.402082836,244078040
42,12055956,0.6720851,244078315
42,12056000,0.27317464,244078590
42,12056044,0.37871824,244078866
42,12056088,0.384358,244079140
42,12056132,0.2739803,244079415
,,0.4432227,244079691
,,0.10473793,244079965
,,0.213554584,244080242
,,0.2046418,244080518
,,0.24739298,244080797
,,0.173220416,244081074
,,0.17805446,244081349
,,0.14502175,244081625
,,0.07895628,244081899
,,0.05075761,244082175
,,0.18772258,244082451
,,0.13132523,244082727
,,0.11843443,244083002
,,0.229668116,244083279
,,0.188528268,244083554
,,0.348908232,244083828
,,0.29734492,244084105
,,0.39886012,244084379
,,0.46497596,244084656
,,0.414218332,244084930
,,0.6253559,244085207
,,0.66402832,244085482
,,0.45530784,244085757
,,0.744596,244086033
,,0.7115633,244086307
,,0.81952392,244086582
,,0.7639323,244086858
,,0.9500938,244087133
,,0.8735546,244087409
,,1.0782467,244087686
,,0.904975936,244087960
,,0.69706104,244088234
,,0.882417,244088509
,,0.82274664,244088785
,,0.8356878,244089063
,,0.7486244,244089337
,,0.51089952,244089613
,,0.4230808,244089888
,,0.387580668,244090164
,,0.35213092,244090440
,,0.43758296,244090716
,,0.14824446,244090991
,,0.08781872,244091267
,,0.08137331,244091541
,,0.23127946,244091817
,,0.029810024,244092092
,,0.03142138,244092391
,,0.032227056,244092672
,,0.024975966,244092949
,,0.02175326,244093227
,,0.028198672,244093505
,,0.022558938,244093781
,,0.04350652,244094092
,,0.14341038,244094375
,,0.06767681,244094652
,,0.25786676,244094931
,,0.4028885,244095209
,,0.3561593,244095484
,,0.3698558,244095760
,,0.6350241,244096035
,,0.61971616,244096310
,,0.719620036,244096585
,,0.81871824,244096861
,,0.8179125,244097136
,,1.2007096,244097412
,,1.0347401,244097689
,,1.107251,244097963
,,1.1789563,244098239
,,1.1362554,244098514
,,0.88161132,244098790
,,1.2781049,244099066
,,1.3860654,244099341
,,1.3731747,244099618
,,0.92028384,244099892
,,0.9170611,244100166
,,0.5753536,244100443
,,0.9299519,244100718
,,0.85260696,244100992
,,0.770377636,244101269
,,0.6930327,244101542
,,0.4730327,244101820
,,0.410139616,244102327
,,0.1836942,244102602
,,0.381135268,244102877
,,0.17966582,244103154
,,0.17402608,244103428
,,0.084596016,244103704
,,0.20222476,244103980
,,0.13374228,244104255
,,0.19175096,244104531
,,0.2506157,244104805
,,0.10957198,244105081
,,0.2506157,244105357
,,0.35454796,244105632
