periodo_ms,t_vuelta_us,voltaje,t_voltaje_us,vuelta
64,98224,0.0,375,0
64,165537,0.0,664,0
64,232585,0.0,932,0
64,299618,0.00080567632,1192,0
64,366705,0.0048340576,1452,0
64,433759,0.024975966,1712,0
64,501085,0.06042573,1973,0
64,568127,0.13857633,2234,0
64,635183,0.0,2495,0
64,702219,0.17080338,2754,0
64,769265,0.1595239,3015,0
64,836614,0.17483176,3277,0
64,903688,0.384358,3536,0
64,970752,0.32634926,3797,0
64,1037821,0.45853056,4059,0
64,1104875,0.6583887,4321,0
,,0.498814336,4582,0
,,0.6519432,4843,0
,,0.5858274,5103,0
,,0.7083405,5364,0
,,1.2619914,5624,0
,,0.420663736,5885,0
,,1.5045502,6146,0
,,0.6680567,6407,0
,,0.67369648,6667,0
,,1.4021789,6928,0
,,1.2176287,7188,0
,,0.8429389,7447,0
,,0.7284824,7709,0
,,0.96056768,7970,0
,,0.47222708,8229,0
,,0.55037768,8491,0
,,0.8397162,8753,0
,,0.7373449,9013,0
,,0.7317052,9273,0
,,0.6745022,9534,0
,,0.8969192,9795,0
,,0.7317052,10054,0
,,0.6318013,10316,0
,,0.5479606,10575,0
,,0.46497596,10838,0
,,0.45853056,11099,0
,,0.7437903,11360,0
,,0.89450216,11621,0
,,0.6277729,11883,0
,,0.32312656,12145,0
,,0.6309957,12404,0
,,0.5366811,12664,0
,,0.7639323,12927,0
,,0.43194324,13186,0
,,0.0,13447,0
,,0.55762876,13708,0
,,0.9629847,13968,0
,,0.6881986,14228,0
,,0.2514214,14490,0
,,0.0,14750,0
,,0.0,15009,0
,,0.15549552,15270,0
,,0.15066147,15531,0
,,0.098292516,15792,0
,,0.0,16053,0
,,0.0,16314,0
,,0.116017392,16576,0
,,0.07573357,16838,0
,,0.0,17100,0
,,0.0,17360,0
,,0.26592352,17620,0
,,0.25786676,17880,0
,,0.10473793,18141,0
,,0.53023576,18402,0
,,0.23450216,18663,0
,,0.15468985,18925,0
,,0.30701304,19187,0
,,0.59791256,19448,0
,,0.46497596,19710,0
,,0.56487984,19972,0
,,0.22805678,20234,0
,,0.36018768,20495,0
,,0.5697139,20757,0
,,0.55198896,21019,0
,,0.427109168,21278,0
,,0.56729684,21539,0
,,0.340851468,21798,0
,,0.68014184,22059,0
,,0.9927947,22319,0
,,0.8034104,22581,0
,,0.6849759,22841,0
,,0.62052184,23102,0
,,0.8437446,23364,0
,,0.8372991,23624,0
,,1.1725109,23885,0
,,0.838104836,24146,0
,,1.262797,24407,0
,,0.8695262,24667,0
,,0.87758296,24928,0
,,1.5528908,25467,0
,,1.2152118,25728,0
,,1.1354496,25989,0
,,0.5785763,26250,0
,,1.2805219,26511,0
,,0.43113756,26772,0
,,0.5334585,27033,0
,,1.2176287,27293,0
,,0.36824448,27554,0
,,0.8840284,27812,0
,,0.28284276,28073,0
,,0.61483176,28334,0
,,0.57777068,28594,0
,,0.54151524,28855,0
,,0.4295262,29117,0
,,0.36018768,29375,0
,,0.2232227,29635,0
,,0.44080568,29897,0
,,0.2232227,30158,0
,,0.090235752,30420,0
,,0.15066147,30683,0
,,0.194168,30944,0
,,0.3384344,31217,0
,,0.42549784,31481,0
,,0.43758296,31744,0
,,0.0,32005,0
,,0.55762876,32266,0
,,0.43194324,32529,0
,,0.68014184,32791,0
,,0.116017392,33053,0
,,0.07815061,33313,0
,,0.10312657,33590,0
,,0.0773449236,33853,0
,,0.200613416,34116,0
,,0.7607095,34379,0
