time_us,adc_raw,iman,periodo_us
70,912,0,0
4346,944,0,0
8345,1136,0,0
12321,1248,0,0
16310,944,0,0
20287,704,1,0
24317,688,0,0
28274,1008,0,0
32238,1120,0,0
36215,1136,0,0
40195,1360,0,0
44180,976,0,0
48164,720,0,0
52145,704,0,0
56122,928,0,0
60112,1072,0,0
64089,1104,0,0
68073,1296,0,0
72055,1024,0,0
76034,784,0,0
80018,640,0,0
84003,1024,0,0
87981,1152,0,0
91963,1152,0,0
95947,1104,0,0
99933,656,0,0
103909,768,0,0
107888,720,0,0
111875,784,0,0
115857,1072,0,0
119836,1312,0,0
123822,1184,0,0
127801,1040,0,0
131782,816,1,111495
135785,720,0,0
139749,864,0,0
143733,1040,0,0
147711,1152,0,0
151695,1184,0,0
155673,1072,0,0
159658,880,0,0
163638,736,0,0
167623,672,0,0
171607,944,0,0
175590,1040,0,0
179567,1200,0,0
183550,1168,0,0
187534,848,0,0
191514,656,0,0
195498,656,0,0
199480,864,0,0
203462,1056,0,0
207443,1136,0,0
211421,1072,0,0
215407,832,0,0
219389,656,0,0
223368,672,0,0
227347,816,0,0
231338,1040,0,0
235316,1216,0,0
239300,1312,0,0
243278,928,1,111496
247283,784,0,0
251248,768,0,0
255228,624,0,0
259206,1040,0,0
263188,1216,0,0
267173,1120,0,0
271158,1040,0,0
275134,896,0,0
279120,672,0,0
283097,832,0,0
287082,944,0,0
291062,1200,0,0
295047,1104,0,0
299029,912,0,0
303010,816,0,0
306996,672,0,0
310976,720,0,0
314955,928,0,0
318933,1392,0,0
322925,1216,0,0
326901,976,0,0
330886,800,0,0
334865,640,0,0
338856,752,0,0
342829,912,0,0
346816,1184,0,0
350796,1184,0,0
354775,1088,0,0
358757,848,1,115479
362761,704,0,0
366721,736,0,0
370703,928,0,0
374687,1088,0,0
378673,816,0,0
382649,1072,0,0
386630,864,0,0
390615,816,0,0
394595,688,0,0
398574,832,0,0
402560,1008,0,0
406542,1088,0,0
410526,1056,0,0
414507,816,0,0
418485,688,0,0
422472,576,0,0
426452,560,0,0
430435,992,0,0
434415,1200,0,0
438395,1120,0,0
442376,928,0,0
446362,800,0,0
450347,640,0,0
454327,784,0,0
458309,1168,0,0
462288,1184,0,0
466269,1168,0,0
470252,992,0,0
474236,992,0,0
478216,640,1,119459
482223,896,0,0
486185,976,0,0
490162,1152,0,0
494151,1200,0,0
498126,976,0,0
502111,800,0,0
506091,672,0,0
510075,800,0,0
514053,896,0,0
518042,1120,0,0
522018,1200,0,0
526002,992,0,0
529983,784,0,0
533968,672,0,0
537946,720,0,0
541931,848,0,0
545908,1104,0,0
549895,1136,0,0
553877,1104,0,0
557860,896,0,0
561840,784,0,0
565819,688,0,0
569803,880,0,0
573788,1072,0,0
577767,1216,0,0
581753,1120,0,0
585728,1280,1,107512
589738,736,0,0
593697,688,0,0
597685,1056,0,0
601661,1040,0,0
605640,1184,0,0
609623,1120,0,0
613602,960,0,0
617591,736,0,0
621572,672,0,0
625548,848,0,0
629533,992,0,0
633520,1136,0,0
637503,1088,0,0
641481,896,0,0
645459,672,0,0
649441,640,0,0
653428,992,0,0
657410,1056,0,0
661391,1120,0,0
665374,1104,0,0
669356,992,0,0
673336,864,0,0
677317,688,0,0
681298,704,0,0
685287,928,0,0
689262,1312,0,0
693248,1296,0,0
697227,1056,0,0
701210,1120,1,115482
705212,848,0,0
709176,880,0,0
713158,896,0,0
717137,1136,0,0
721116,1152,0,0
725100,1232,0,0
729080,896,0,0
733067,656,0,0
737049,704,0,0
741033,864,0,0
745012,1024,0,0
748998,1312,0,0
752978,1040,0,0
756958,848,0,0
760939,896,0,0
764926,688,0,0
768905,736,0,0
772886,1168,0,0
776867,1200,0,0
780853,1120,0,0
784830,976,0,0
788813,704,0,0
792798,656,0,0
796779,656,0,0
800760,1216,0,0
804742,1216,0,0
808727,1216,0,0
812705,976,0,0
816689,752,1,115479
820691,656,0,0
824653,752,0,0
828635,1008,0,0
832618,1184,0,0
836598,1216,0,0
840582,992,0,0
844563,912,0,0
848544,592,0,0
852528,720,0,0
856508,1008,0,0
860491,1312,0,0
864474,1104,0,0
868454,992,0,0
872436,992,0,0
876422,624,0,0
