vuelta,tiempo_us,voltaje_V
553,-230490578.0,0.5826047
553,-230467998.0,0.6075807
553,-230445450.0,0.58824444
553,-230422807.0,0.55601732
553,-230400169.0,0.5004257
553,-230377579.0,0.4496681
553,-230355005.0,0.38838636
553,-230332409.0,0.3255436
553,-230309852.0,0.27881438
553,-230287252.0,0.24175326
553,-230264632.0,0.2232227
553,-230242087.0,0.21436026
553,-230219471.0,0.2514214
553,-230196934.0,0.2844541
553,-230174380.0,0.33762876
553,-230151800.0,0.3932204
553,-230129271.0,0.46255892
553,-230106671.0,0.5189563
553,-230084110.0,0.5568231
553,-230061568.0,0.5834104
553,-230038998.0,0.5826047
553,-230016446.0,0.5753536
553,-229993886.0,0.5463493
553,-229971341.0,0.49236896
553,-229948725.0,0.44241704
553,-229926118.0,0.37549552
553,-229903527.0,0.32232088
553,-229880894.0,0.26834056
553,-229858235.0,0.22886244
553,-229835616.0,0.21436026
553,-229813000.0,0.209526216
553,-229790337.0,0.22402838
553,-229767722.0,0.2514214
553,-229745193.0,0.3158755
553,-229722642.0,0.36099336
553,-229700033.0,0.4464454
553,-229677487.0,0.49236896
554,-229654869.0,0.53265276
554,-229632274.0,0.5737423
554,-229609714.0,0.6099977
554,-229587148.0,0.5971069
554,-229564588.0,0.5834104
554,-229542036.0,0.5390982
554,-229519490.0,0.4907576
554,-229496783.0,0.43436024
554,-229474181.0,0.3730785
554,-229451621.0,0.31426412
554,-229429034.0,0.26672924
554,-229406442.0,0.23611354
554,-229383842.0,0.21516593
554,-229361121.0,0.22080568
554,-229338510.0,0.2441703
554,-229315889.0,0.28284276
554,-229293254.0,0.34487984
554,-229270658.0,0.4036942
554,-229248105.0,0.459336232
554,-229225426.0,0.5237903
554,-229202885.0,0.5584344
554,-229180351.0,0.5866331
554,-229157803.0,0.59388416
554,-229135203.0,0.5801877
554,-229112648.0,0.54876624
554,-229090060.0,0.51251084
554,-229067478.0,0.44080568
554,-229044891.0,0.38355228
554,-229022308.0,0.31345844
554,-228999699.0,0.26431218
554,-228977108.0,0.2264454
554,-228954565.0,0.20383612
554,-228931956.0,0.2046418
554,-228909405.0,0.233696492
554,-228886729.0,0.25544976
554,-228864139.0,0.29895628
554,-228841556.0,0.36743876
554,-228818958.0,0.4496681
554,-228796369.0,0.497203016
554,-228773616.0,0.5584344
554,-228751037.0,0.5801877
554,-228728468.0,0.6189105
554,-228705897.0,0.606775
554,-228683392.0,0.5930785
554,-228660825.0,0.52862436
554,-228638224.0,0.51412224
554,-228615624.0,0.43919432
554,-228593053.0,0.37630124
554,-228570462.0,0.31909816
554,-228547866.0,0.29009384
554,-228525303.0,0.24014192
554,-228502705.0,0.21274892
554,-228480120.0,0.22805678
554,-228457510.0,0.25786676
554,-228434932.0,0.2917052
554,-228412384.0,0.34407416
554,-228389799.0,0.40127716
554,-228367217.0,0.474644068
554,-228344546.0,0.5133165
554,-228321987.0,0.5664912
554,-228299436.0,0.58179904
554,-228276831.0,0.5834104
554,-228254262.0,0.56487984
554,-228231617.0,0.5382925
554,-228209037.0,0.48592356
554,-228186421.0,0.4327489
554,-228163868.0,0.37066148
554,-228141283.0,0.31345844
554,-228118681.0,0.2610895
554,-228096119.0,0.225639732
554,-228073446.0,0.206303484
554,-228050770.0,0.20383612
554,-228028166.0,0.219194308
554,-228005472.0,0.2610895
554,-227982914.0,0.3086244
554,-227960362.0,0.36824448
554,-227937774.0,0.435165936
554,-227915113.0,0.4883406
555,-227892568.0,0.5423209
