vuelta,tiempo_us,voltaje_V
673,-48512340.0,0.46578164
673,-48489723.0,0.5197619
673,-48467160.0,0.55440604
673,-48444499.0,0.57051956
673,-48421804.0,0.5697139
673,-48399216.0,0.5447379
673,-48376656.0,0.5060655
673,-48354094.0,0.45450216
673,-48331517.0,0.4077226
673,-48308965.0,0.33682304
673,-48286370.0,0.274786
673,-48263869.0,0.23933622
673,-48241271.0,0.207109168
673,-48218599.0,0.18933394
673,-48195985.0,0.20544746
673,-48173370.0,0.23047378
673,-48150764.0,0.2675349
673,-48128207.0,0.33037764
673,-48105620.0,0.3803296
673,-48083079.0,0.43919432
673,-48060514.0,0.4980087
673,-48037952.0,0.5407095
673,-48015409.0,0.5584344
673,-47992874.0,0.57132524
673,-47970288.0,0.5423209
673,-47947733.0,0.5076768
673,-47925197.0,0.46094756
673,-47902550.0,0.39805448
673,-47879901.0,0.3384344
673,-47857342.0,0.27881438
673,-47834721.0,0.22805678
673,-47812117.0,0.17805446
673,-47789510.0,0.17886014
673,-47766904.0,0.17402608
673,-47744307.0,0.211137552
673,-47721636.0,0.23127946
673,-47699028.0,0.2917052
673,-47676498.0,0.371467136
673,-47653833.0,0.4230808
673,-47631301.0,0.474644068
673,-47608628.0,0.53184708
673,-47586035.0,0.56487984
673,-47563469.0,0.58421608
673,-47540872.0,0.58179904
673,-47518276.0,0.5552117
673,-47495728.0,0.51089952
673,-47473145.0,0.4641703
673,-47450600.0,0.4028885
673,-47428038.0,0.34487984
673,-47405459.0,0.28606544
673,-47382860.0,0.233696492
673,-47360151.0,0.20872054
673,-47337466.0,0.19980774
673,-47314813.0,0.207109168
673,-47292145.0,0.233696492
673,-47269457.0,0.2739803
673,-47246902.0,0.33762876
673,-47224294.0,0.384358
673,-47201800.0,0.44563972
673,-47179182.0,0.49398032
673,-47156601.0,0.53023576
673,-47134004.0,0.54876624
673,-47111415.0,0.54876624
673,-47088811.0,0.53265276
673,-47066220.0,0.49478596
673,-47043623.0,0.44886244
673,-47021022.0,0.39966584
673,-46998442.0,0.32393226
673,-46975825.0,0.27236894
673,-46953213.0,0.22
673,-46930734.0,0.188528268
673,-46908062.0,0.173220416
673,-46885395.0,0.17966582
673,-46862779.0,0.19980774
673,-46840173.0,0.24175326
673,-46817514.0,0.30056764
673,-46794854.0,0.36099336
673,-46772210.0,0.41744108
674,-46749601.0,0.481895168
674,-46726919.0,0.5262074
674,-46704389.0,0.56085148
674,-46681794.0,0.5729366
674,-46659250.0,0.58179904
674,-46636642.0,0.5407095
674,-46614088.0,0.49962004
674,-46591482.0,0.4665873
674,-46568925.0,0.386775
674,-46546445.0,0.32312656
674,-46523844.0,0.27075762
674,-46501220.0,0.24014192
674,-46478640.0,0.20222476
674,-46456051.0,0.188528268
674,-46433386.0,0.20141908
674,-46410796.0,0.22725108
674,-46388206.0,0.2514214
674,-46365659.0,0.329572
674,-46343184.0,0.39724876
674,-46320581.0,0.44563972
674,-46297981.0,0.49962004
674,-46275325.0,0.5640741
674,-46252706.0,0.56085148
674,-46230075.0,0.5624628
674,-46207528.0,0.5390982
674,-46184973.0,0.49962004
674,-46162383.0,0.452085152
674,-46139709.0,0.40127716
674,-46117118.0,0.3247379
674,-46094563.0,0.2610895
674,-46072004.0,0.2232227
674,-46049451.0,0.18772258
674,-46026835.0,0.17563744
674,-46004220.0,0.18127718
674,-45981621.0,0.20383612
674,-45959012.0,0.22725108
674,-45936430.0,0.29895628
674,-45913815.0,0.36824448
674,-45891238.0,0.4295262
674,-45868679.0,0.49236896
674,-45846087.0,0.5390982
674,-45823542.0,0.5689082
674,-45800995.0,0.58099336
674,-45778406.0,0.5737423
674,-45755855.0,0.5463493
674,-45733261.0,0.5020371
674,-45710641.0,0.4528908
674,-45688055.0,0.409333936
674,-45665385.0,0.34165712
674,-45642779.0,0.27881438
674,-45620163.0,0.23047378
674,-45597536.0,0.20544746
674,-45574925.0,0.20222476
674,-45552328.0,0.2232227
674,-45529786.0,0.24175326
674,-45507170.0,0.27800868
674,-45484597.0,0.33118334
674,-45461981.0,0.4004715
674,-45439448.0,0.4496681
674,-45416888.0,0.49962004
674,-45394280.0,0.53587544
674,-45371663.0,0.5592401
674,-45349118.0,0.549572
674,-45326629.0,0.52862436
674,-45304035.0,0.48511784
674,-45281454.0,0.44
674,-45258969.0,0.37549552
674,-45236399.0,0.33198902
674,-45213791.0,0.2602838
674,-45191213.0,0.21838864
674,-45168555.0,0.207109168
674,-45145857.0,0.176443132
674,-45123178.0,0.1772488
674,-45100644.0,0.207109168
674,-45077970.0,0.24819868
674,-45055405.0,0.3110414
674,-45032866.0,0.36824448
674,-45010280.0,0.4295262
675,-44987700.0,0.4843122
