vuelta,tiempo_us,voltaje_V
1565,242534395.0,0.23047378
1565,242557000.0,0.184499884
1565,242579664.0,0.16113527
1565,242602278.0,0.15146714
1565,242624928.0,0.16435798
1565,242647608.0,0.1973907
1565,242670207.0,0.2602838
1565,242692764.0,0.2981506
1565,242715294.0,0.359382
1565,242737785.0,0.42549784
1565,242760367.0,0.47061568
1565,242782950.0,0.5044541
1565,242805501.0,0.5390982
1565,242828053.0,0.5229847
1565,242850603.0,0.50928816
1565,242873194.0,0.475449736
1565,242895849.0,0.435971616
1565,242918520.0,0.365021732
1565,242941174.0,0.31184712
1565,242963774.0,0.26431218
1565,242986375.0,0.21838864
1565,243008976.0,0.19013962
1565,243031576.0,0.19013962
1565,243054176.0,0.19577934
1565,243076779.0,0.22241702
1565,243099394.0,0.2715633
1565,243121935.0,0.33521172
1565,243144537.0,0.3827466
1565,243167090.0,0.46014192
1565,243189754.0,0.5205676
1565,243212320.0,0.5431266
1565,243234865.0,0.56487984
1565,243257431.0,0.57454792
1565,243280020.0,0.55037768
1565,243302609.0,0.53265276
1565,243325202.0,0.46900432
1565,243347783.0,0.4077226
1565,243370318.0,0.33521172
1565,243392906.0,0.27720302
1565,243415516.0,0.22805678
1565,243438115.0,0.1836942
1565,243460657.0,0.16194094
1565,243483256.0,0.15791256
1565,243505849.0,0.18288852
1565,243528423.0,0.210331868
1565,243551092.0,0.24658732
1565,243573659.0,0.30701304
1565,243596242.0,0.3658274
1565,243618777.0,0.4335546
1565,243641328.0,0.4770611
1565,243663880.0,0.5197619
1565,243686439.0,0.52862436
1565,243709070.0,0.53184708
1565,243731733.0,0.5181506
1565,243754300.0,0.473838432
1565,243776965.0,0.42146944
1565,243799572.0,0.37630124
1565,243822150.0,0.3110414
1565,243844699.0,0.25867244
1565,243867295.0,0.217582968
1565,243889961.0,0.19336232
1565,243912521.0,0.17563744
1565,243935123.0,0.19819638
1565,243957716.0,0.22402838
1565,243980325.0,0.2699519
1565,244002868.0,0.32634926
1565,244025473.0,0.385969336
1565,244048129.0,0.44563972
1565,244070725.0,0.5004257
1565,244093279.0,0.5407095
1565,244115837.0,0.5584344
1565,244138359.0,0.5640741
1565,244160915.0,0.549572
1565,244183409.0,0.51573352
1565,244206000.0,0.4641703
1565,244228544.0,0.40127716
1565,244251155.0,0.34407416
1565,244273796.0,0.2715633
1566,244296396.0,0.219194308
1566,244319088.0,0.17966582
1566,244341692.0,0.15468985
1566,244364309.0,0.15066147
1566,244386914.0,0.13857633
1566,244409535.0,0.211137552
1566,244432193.0,0.249004352
1566,244454869.0,0.30620736
1566,244477446.0,0.3666331
1566,244500005.0,0.438388616
1566,244522664.0,0.46900432
1566,244545231.0,0.5197619
1566,244567768.0,0.5382925
1566,244590322.0,0.5254017
1566,244612862.0,0.5028428
1566,244635417.0,0.467392984
1566,244658077.0,0.42146944
1566,244680679.0,0.3561593
1566,244703211.0,0.30379036
1566,244725810.0,0.25544976
1566,244748392.0,0.21274892
1566,244770986.0,0.1869169
1566,244793530.0,0.18127718
1566,244816175.0,0.19336232
1566,244838818.0,0.22886244
1566,244861440.0,0.274786
1566,244883938.0,0.3392401
1566,244906484.0,0.39160908
1566,244929084.0,0.46578164
1566,244951671.0,0.51251084
1566,244974242.0,0.549572
1566,244996727.0,0.5664912
1566,245019261.0,0.5689082
1566,245041797.0,0.5455436
1566,245064333.0,0.51009384
1566,245086895.0,0.451279468
1566,245109557.0,0.39805448
1566,245132128.0,0.33037764
1566,245154726.0,0.26592352
1566,245177309.0,0.21838864
1566,245199902.0,0.17966582
1566,245222500.0,0.15710689
1566,245245115.0,0.15710689
1566,245267738.0,0.15871824
1566,245290330.0,0.20544746
1566,245312919.0,0.2514214
1566,245335462.0,0.3150698
1566,245358039.0,0.365021732
1566,245380756.0,0.452085152
1566,245403440.0,0.4980087
1566,245426003.0,0.5197619
1566,245448559.0,0.5366811
1566,245471106.0,0.53104144
1566,245493692.0,0.5076768
1566,245516228.0,0.47222708
1566,245538800.0,0.4198581
1566,245561353.0,0.36099336
1566,245583950.0,0.30379036
1566,245606548.0,0.249004352
1566,245629201.0,0.19980774
1566,245651811.0,0.188528268
1566,245674472.0,0.18208284
1566,245697057.0,0.19980774
1566,245719665.0,0.229668116
1566,245742344.0,0.28525978
1566,245764922.0,0.33279468
1566,245787510.0,0.41094528
1566,245810102.0,0.45611356
1566,245832701.0,0.51170516
1566,245855267.0,0.55601732
1566,245877844.0,0.56085148
1566,245900448.0,0.56165716
1566,245923101.0,0.5423209
1566,245945703.0,0.5076768
1566,245968231.0,0.452085152
1566,245990911.0,0.387580668
1566,246013560.0,0.32232088
1566,246036159.0,0.2602838
1567,246058713.0,0.217582968
