vuelta,tiempo_us,voltaje_V
1061,403816102.0,0.11843443
1061,403838703.0,0.09506981
1061,403861274.0,0.090235752
1061,403883873.0,0.09345845
1061,403906443.0,0.10715495
1061,403929048.0,0.13051957
1061,403951661.0,0.1699977
1061,403974208.0,0.19819638
1061,403996797.0,0.237724868
1061,404019462.0,0.2715633
1061,404041995.0,0.29573356
1061,404064601.0,0.31184712
1061,404087196.0,0.31748684
1061,404109778.0,0.30943006
1061,404132399.0,0.29573356
1061,404155006.0,0.26350652
1061,404177575.0,0.23208516
1061,404200158.0,0.200613416
1061,404222821.0,0.16596932
1061,404245404.0,0.13857633
1061,404268012.0,0.12004577
1061,404290624.0,0.10796063
1061,404313241.0,0.12004577
1061,404335859.0,0.1329366
1061,404358395.0,0.16355228
1061,404381010.0,0.1973907
1061,404403561.0,0.23208516
1061,404426153.0,0.26914626
1061,404448754.0,0.30217898
1061,404471362.0,0.33521172
1061,404493953.0,0.3497139
1061,404516512.0,0.355353632
1061,404539167.0,0.3529366
1061,404561711.0,0.329572
1061,404584199.0,0.30056764
1061,404606800.0,0.2610895
1061,404629339.0,0.21838864
1061,404651947.0,0.176443132
1061,404674613.0,0.14341038
1061,404697217.0,0.11440604
1061,404719811.0,0.0918471
1061,404742321.0,0.08379034
1061,404764850.0,0.0886244
1061,404787346.0,0.10473793
1061,404809958.0,0.1361593
1061,404832522.0,0.172414752
1061,404855194.0,0.2046418
1061,404877740.0,0.249004352
1061,404900404.0,0.28042572
1061,404923010.0,0.30620736
1061,404945603.0,0.3158755
1061,404968159.0,0.3287663
1061,404990709.0,0.3110414
1061,405013251.0,0.30217898
1061,405035851.0,0.26270086
1061,405058461.0,0.23450216
1061,405081045.0,0.19900206
1061,405103644.0,0.16194094
1061,405126250.0,0.1361593
1061,405148803.0,0.1192401
1061,405171351.0,0.113600368
1061,405194025.0,0.11682307
1061,405216635.0,0.1401877
1061,405239176.0,0.1603296
1061,405261712.0,0.19175096
1061,405284313.0,0.22402838
1061,405306910.0,0.26672924
1061,405329502.0,0.30298466
1061,405352110.0,0.32715496
1061,405374713.0,0.33762876
1061,405397293.0,0.348908232
1061,405419957.0,0.34165712
1061,405442546.0,0.32070952
1061,405465126.0,0.29089952
1061,405487698.0,0.24255892
1061,405515907.0,0.20791486
1061,405538536.0,0.16596932
1062,405561172.0,0.1329366
1062,405583722.0,0.10634928
1062,405606318.0,0.09345845
1062,405628885.0,0.08701304
1062,405651437.0,0.09668116
1062,405674002.0,0.11521172
1062,405696612.0,0.14824446
1062,405719215.0,0.17805446
1062,405741828.0,0.21838864
1062,405764430.0,0.25222704
1062,405787034.0,0.27559168
1062,405809622.0,0.29895628
1062,405832231.0,0.3158755
1062,405854791.0,0.31184712
1062,405877402.0,0.30540168
1062,405899997.0,0.2844541
1062,405922555.0,0.24981002
1062,405945157.0,0.21838864
1062,405967757.0,0.18772258
1062,405990365.0,0.15227284
1062,406012965.0,0.13777066
1062,406035579.0,0.12326848
1062,406058159.0,0.11037766
1062,406080758.0,0.12246281
1062,406103372.0,0.14179904
1062,406125967.0,0.172414752
1062,406148636.0,0.20791486
1062,406171231.0,0.244975968
1062,406193912.0,0.28687114
1062,406216520.0,0.32151524
1062,406239116.0,0.34407416
1062,406261692.0,0.355353632
1062,406284366.0,0.35454796
1062,406306951.0,0.34165712
1062,406329559.0,0.3182925
1062,406352097.0,0.28606544
1062,406374696.0,0.24739298
1062,406397292.0,0.18288852
1062,406419877.0,0.15791256
1062,406442482.0,0.12649119
1062,406465104.0,0.10070954
1062,406487715.0,0.08540169
1062,406510273.0,0.090235752
1062,406532867.0,0.08701304
1062,406555409.0,0.1192401
1062,406577962.0,0.14421608
1062,406600554.0,0.17563744
1062,406623147.0,0.221611344
1062,406645823.0,0.26189516
1062,406668400.0,0.2917052
1062,406690955.0,0.31345844
1062,406713553.0,0.32634926
1062,406736159.0,0.32232088
1062,406758757.0,0.3158755
1062,406781307.0,0.2812314
1062,406803838.0,0.249004352
1062,406826505.0,0.2167773
1062,406849049.0,0.17805446
1062,406871656.0,0.15388418
1062,406894260.0,0.13374228
1062,406916864.0,0.11682307
1062,406939483.0,0.11118334
1062,406962107.0,0.12649119
1062,406984714.0,0.14582742
1062,407007333.0,0.17483176
1062,407029926.0,0.210331868
1062,407052606.0,0.24819868
1062,407075172.0,0.28042572
1062,407097778.0,0.31184712
1062,407120373.0,0.33762876
1062,407142957.0,0.348102536
1062,407165622.0,0.34649116
1062,407188214.0,0.33198902
1062,407210821.0,0.30540168
1062,407233409.0,0.27720302
1062,407256000.0,0.229668116
1062,407278683.0,0.19980774
1062,407301294.0,0.16435798
1063,407323936.0,0.12810254
