vuelta,tiempo_us,voltaje_V
1181,-458870135.0,0.15871824
1181,-458847524.0,0.13777066
1181,-458824896.0,0.1297139
1181,-458802323.0,0.1329366
1181,-458779780.0,0.14824446
1181,-458757180.0,0.17966582
1181,-458734570.0,0.20141908
1181,-458711987.0,0.24175326
1181,-458689375.0,0.2739803
1181,-458666823.0,0.31426412
1181,-458644217.0,0.3360174
1181,-458621688.0,0.35777064
1181,-458599074.0,0.36179904
1181,-458576470.0,0.3634104
1181,-458553757.0,0.3392401
1181,-458531200.0,0.3110414
1181,-458508671.0,0.27720302
1181,-458486061.0,0.233696492
1181,-458463378.0,0.194168
1181,-458440876.0,0.15871824
1181,-458418282.0,0.12810254
1181,-458395691.0,0.09668116
1181,-458373146.0,0.098292516
1181,-458350555.0,0.11118334
1181,-458327940.0,0.121657128
1181,-458305248.0,0.15388418
1181,-458282643.0,0.18530556
1181,-458260026.0,0.221611344
1181,-458237345.0,0.2610895
1181,-458214794.0,0.30943006
1181,-458192187.0,0.31909816
1181,-458169604.0,0.33360036
1181,-458146997.0,0.3360174
1181,-458124455.0,0.33440602
1181,-458101845.0,0.3110414
1181,-458079291.0,0.28606544
1181,-458056679.0,0.2441703
1181,-458034118.0,0.207109168
1181,-458011452.0,0.18530556
1181,-457988853.0,0.15388418
1181,-457966235.0,0.13213092
1181,-457943645.0,0.12568552
1181,-457921040.0,0.12649119
1181,-457898424.0,0.14743876
1181,-457875824.0,0.173220416
1181,-457853157.0,0.209526216
1181,-457830468.0,0.2441703
1181,-457807914.0,0.28928816
1181,-457785323.0,0.32393226
1181,-457762721.0,0.34649116
1181,-457740138.0,0.3666331
1181,-457717580.0,0.37710688
1181,-457694963.0,0.3626047
1181,-457672417.0,0.34407416
1181,-457649830.0,0.31184712
1181,-457627227.0,0.28042572
1181,-457604612.0,0.233696492
1181,-457581943.0,0.18772258
1181,-457559328.0,0.15146714
1181,-457536720.0,0.12649119
1181,-457514096.0,0.11843443
1181,-457491487.0,0.1055436
1181,-457468949.0,0.11037766
1181,-457446343.0,0.12568552
1181,-457423745.0,0.16516365
1181,-457401123.0,0.1869169
1181,-457378548.0,0.2264454
1181,-457356012.0,0.26511788
1181,-457333409.0,0.2884825
1181,-457310856.0,0.3182925
1181,-457288304.0,0.33360036
1181,-457265709.0,0.33118334
1181,-457243100.0,0.32151524
1181,-457220512.0,0.30379036
1181,-457197904.0,0.27559168
1181,-457175322.0,0.24819868
1181,-457152743.0,0.217582968
1181,-457130090.0,0.1869169
1182,-457107511.0,0.15307851
1182,-457084869.0,0.14341038
1182,-457062238.0,0.1329366
1182,-457039697.0,0.13374228
1182,-457017087.0,0.15710689
1182,-456994464.0,0.18208284
1182,-456971855.0,0.213554584
1182,-456949181.0,0.24819868
1182,-456926596.0,0.28042572
1182,-456904000.0,0.31426412
1182,-456881400.0,0.342462768
1182,-456858739.0,0.35857632
1182,-456836151.0,0.364216068
1182,-456813492.0,0.3561593
1182,-456790935.0,0.33360036
1182,-456768330.0,0.3086244
1182,-456745798.0,0.26834056
1182,-456723195.0,0.225639732
1182,-456700513.0,0.18933394
1182,-456677907.0,0.15066147
1182,-456655276.0,0.12085146
1182,-456632677.0,0.10070954
1182,-456610056.0,0.09668116
1182,-456587521.0,0.10634928
1182,-456564916.0,0.12810254
1182,-456542315.0,0.15549552
1182,-456519725.0,0.194168
1182,-456497235.0,0.23289082
1182,-456474625.0,0.26914626
1182,-456452011.0,0.30540168
1182,-456429419.0,0.32796064
1182,-456406820.0,0.34326848
1182,-456384222.0,0.340851468
1182,-456361554.0,0.32796064
1182,-456338962.0,0.31023574
1182,-456316356.0,0.28042572
1182,-456293740.0,0.244975968
1182,-456271064.0,0.20544746
1182,-456248448.0,0.17886014
1182,-456225838.0,0.14341038
1182,-456203231.0,0.1297139
1182,-456180692.0,0.12487984
1182,-456158100.0,0.13213092
1182,-456135513.0,0.14663309
1182,-456112901.0,0.17805446
1182,-456090300.0,0.21436026
1182,-456067681.0,0.24578164
1182,-456045088.0,0.29009384
1182,-456022485.0,0.3255436
1182,-455999954.0,0.35213092
1182,-455977364.0,0.36824448
1182,-455954765.0,0.37710688
1182,-455932160.0,0.36018768
1182,-455909583.0,0.33440602
1182,-455886973.0,0.30620736
1182,-455864370.0,0.26914626
1182,-455841755.0,0.2232227
1182,-455819218.0,0.18611124
1182,-455796631.0,0.14663309
1182,-455774009.0,0.121657128
1182,-455751313.0,0.10634928
1182,-455728717.0,0.10070954
1182,-455706114.0,0.10957198
1182,-455683514.0,0.13132523
1182,-455660898.0,0.16113527
1182,-455638280.0,0.188528268
1182,-455615596.0,0.23289082
1182,-455592987.0,0.26592352
1182,-455570398.0,0.304596
1182,-455547902.0,0.3247379
1182,-455525342.0,0.33279468
1182,-455502771.0,0.33279468
1182,-455480191.0,0.32151524
1182,-455457590.0,0.3013733
1182,-455435025.0,0.26914626
1182,-455412424.0,0.23853054
1182,-455389810.0,0.20791486
1182,-455367207.0,0.17886014
1183,-455344553.0,0.15066147
