vuelta,tiempo_us,voltaje_V
1288,-270689692.0,0.467392984
1288,-270667002.0,0.44
1288,-270644506.0,0.41175096
1288,-270621888.0,0.37710688
1288,-270599285.0,0.34407416
1288,-270576705.0,0.30298466
1288,-270554099.0,0.26672924
1288,-270531503.0,0.24739298
1288,-270508890.0,0.23530784
1288,-270486300.0,0.23289082
1288,-270463687.0,0.2514214
1288,-270441152.0,0.27075762
1288,-270418544.0,0.30781874
1288,-270395934.0,0.340045784
1288,-270373258.0,0.381135268
1288,-270350597.0,0.414218332
1288,-270327923.0,0.44805676
1288,-270305335.0,0.467392984
1288,-270282645.0,0.475449736
1288,-270259988.0,0.46900432
1288,-270237398.0,0.451279468
1288,-270214740.0,0.427109168
1288,-270192083.0,0.39160908
1288,-270169489.0,0.348102536
1288,-270146826.0,0.32070952
1288,-270124252.0,0.28606544
1288,-270101664.0,0.25625542
1288,-270079063.0,0.24014192
1288,-270056466.0,0.22483406
1288,-270033855.0,0.24578164
1288,-270011244.0,0.26511788
1288,-269988637.0,0.30217898
1288,-269966024.0,0.33279468
1288,-269943461.0,0.3634104
1288,-269920732.0,0.40852828
1288,-269898124.0,0.4367773
1288,-269875575.0,0.4641703
1288,-269853021.0,0.4665873
1288,-269830463.0,0.47222708
1288,-269807868.0,0.46175324
1288,-269785270.0,0.43194324
1288,-269762679.0,0.4044999
1288,-269740113.0,0.37227284
1288,-269717514.0,0.32232088
1288,-269694910.0,0.29412222
1288,-269672301.0,0.2602838
1288,-269649745.0,0.24255892
1288,-269627154.0,0.23208516
1288,-269604557.0,0.23047378
1288,-269581952.0,0.249004352
1288,-269559274.0,0.27075762
1288,-269536659.0,0.31265276
1288,-269514048.0,0.35374228
1288,-269491455.0,0.38999772
1288,-269468858.0,0.427914836
1288,-269446206.0,0.452085152
1288,-269423529.0,0.47142136
1288,-269400925.0,0.4770611
1288,-269378359.0,0.4681987
1288,-269355805.0,0.4496681
1288,-269333251.0,0.42469212
1288,-269310644.0,0.39080336
1288,-269288041.0,0.35777064
1288,-269265442.0,0.30298466
1288,-269242829.0,0.28525978
1288,-269220224.0,0.27075762
1288,-269197613.0,0.24819868
1288,-269175043.0,0.24578164
1288,-269152441.0,0.25706112
1288,-269129843.0,0.274786
1288,-269107341.0,0.30298466
1288,-269084735.0,0.340045784
1288,-269062050.0,0.37791256
1288,-269039448.0,0.41744108
1288,-269016843.0,0.44241704
1288,-268994251.0,0.46255892
1288,-268971664.0,0.473838432
1288,-268948992.0,0.47222708
1289,-268926366.0,0.46094756
1289,-268903746.0,0.4367773
1289,-268881196.0,0.40611124
1289,-268858579.0,0.37227284
1289,-268835977.0,0.33037764
1289,-268813364.0,0.28284276
1289,-268790773.0,0.2602838
1289,-268768198.0,0.240947584
1289,-268745513.0,0.23530784
1289,-268722907.0,0.24014192
1289,-268700294.0,0.25544976
1289,-268677711.0,0.274786
1289,-268655197.0,0.3110414
1289,-268632656.0,0.347296868
1289,-268609971.0,0.387580668
1289,-268587308.0,0.42388648
1289,-268564696.0,0.4496681
1289,-268542141.0,0.46578164
1289,-268519524.0,0.4770611
1289,-268496967.0,0.4681987
1289,-268474396.0,0.4536965
1289,-268451839.0,0.419052432
1289,-268429151.0,0.384358
1289,-268406651.0,0.34649116
1289,-268384046.0,0.30943006
1289,-268361442.0,0.274786
1289,-268338938.0,0.2514214
1289,-268316390.0,0.236919216
1289,-268293704.0,0.24014192
1289,-268271094.0,0.25464408
1289,-268248497.0,0.2675349
1289,-268225942.0,0.304596
1289,-268203438.0,0.3392401
1289,-268180881.0,0.37791256
1289,-268158252.0,0.415024
1289,-268135762.0,0.451279468
1289,-268113078.0,0.4641703
1289,-268090508.0,0.47222708
1289,-268067902.0,0.47222708
1289,-268045298.0,0.46014192
1289,-268022696.0,0.43436024
1289,-268000091.0,0.402082836
1289,-267977420.0,0.36018768
1289,-267954835.0,0.3255436
1289,-267932286.0,0.27962004
1289,-267909694.0,0.25544976
1289,-267887087.0,0.24014192
1289,-267864488.0,0.23047378
1289,-267841864.0,0.23530784
1289,-267819263.0,0.25222704
1289,-267796656.0,0.27881438
1289,-267774033.0,0.3158755
1289,-267751470.0,0.359382
1289,-267728972.0,0.39724876
1289,-267706363.0,0.427109168
1289,-267683694.0,0.4536965
1289,-267661129.0,0.4730327
1289,-267638572.0,0.47867244
1289,-267615956.0,0.47061568
1289,-267593370.0,0.444028384
1289,-267570688.0,0.41663536
1289,-267548089.0,0.3827466
1289,-267525535.0,0.34165712
1289,-267502938.0,0.3110414
1289,-267480392.0,0.27962004
1289,-267457790.0,0.25947816
1289,-267435193.0,0.244975968
1289,-267412521.0,0.24739298
1289,-267389904.0,0.25867244
1289,-267367306.0,0.2844541
1289,-267344738.0,0.31345844
1289,-267322139.0,0.34487984
1289,-267299539.0,0.385969336
1289,-267276871.0,0.419052432
1289,-267254180.0,0.45530784
1289,-267231582.0,0.46175324
1289,-267208970.0,0.46981004
1289,-267186361.0,0.46900432
1290,-267163735.0,0.45772488
