vuelta,tiempo_us,voltaje_V
213,-21909155.0,1.0048798
213,-21886563.0,0.9533165
213,-21863998.0,0.871943232
213,-21841343.0,0.7913253
213,-21818794.0,0.6906157
213,-21796237.0,0.5922728
213,-21773697.0,0.50928816
213,-21751102.0,0.46497596
213,-21728487.0,0.43194324
213,-21705884.0,0.43033186
213,-21683164.0,0.459336232
213,-21660499.0,0.5173449
213,-21637947.0,0.59146716
213,-21615371.0,0.6833646
213,-21592832.0,0.7784344
213,-21570305.0,0.8759716
213,-21547764.0,0.95492784
213,-21525187.0,1.014548
213,-21502657.0,1.0524651
213,-21480064.0,1.0613276
213,-21457494.0,1.0347401
213,-21434887.0,0.9927947
213,-21412333.0,0.9355917
213,-21389787.0,0.8598581
213,-21367239.0,0.7832685
213,-21344685.0,0.70995192
213,-21322080.0,0.6511376
213,-21299549.0,0.6164431
213,-21276991.0,0.5987182
213,-21254447.0,0.60435796
213,-21231846.0,0.64388644
213,-21209259.0,0.6745022
213,-21186709.0,0.7518471
213,-21164146.0,0.82763108
213,-21141543.0,0.89450216
213,-21118961.0,0.96701304
213,-21096355.0,1.0048798
213,-21073756.0,1.0226047
213,-21051148.0,1.0137423
213,-21028564.0,0.994406032
213,-21005899.0,0.932369
213,-20983410.0,0.855024064
213,-20960746.0,0.76796068
213,-20938160.0,0.676919136
213,-20915494.0,0.5922728
213,-20892955.0,0.53104144
213,-20870344.0,0.4681987
213,-20847794.0,0.42872052
213,-20825220.0,0.435971616
213,-20802547.0,0.4641703
213,-20779992.0,0.51009384
213,-20757404.0,0.58743876
213,-20734803.0,0.6817533
213,-20712268.0,0.79696492
213,-20689669.0,0.8558297
213,-20667135.0,0.9363974
213,-20644587.0,1.0000458
213,-20622005.0,1.0234103
213,-20599397.0,1.0427968
213,-20576839.0,1.0217991
213,-20554235.0,0.9774868
213,-20531699.0,0.9235065
213,-20509130.0,0.84535584
213,-20486543.0,0.77279464
213,-20463939.0,0.705923568
213,-20441282.0,0.63018996
213,-20418678.0,0.6156375
213,-20396130.0,0.59791256
213,-20373531.0,0.60516364
213,-20350936.0,0.6454978
213,-20328386.0,0.6938384
213,-20305849.0,0.7687663
213,-20283292.0,0.8405218
213,-20260753.0,0.9009476
213,-20238220.0,0.9702357
213,-20215670.0,1.0193819
213,-20193070.0,1.0403799
213,-20170484.0,1.0306615
214,-20147853.0,1.0000458
