vuelta,tiempo_us,voltaje_V
511,-480552882.0,1.0000458
511,-480530269.0,0.93881432
511,-480507690.0,0.86146948
511,-480485101.0,0.7840742
511,-480462560.0,0.68255896
511,-480439939.0,0.58421608
511,-480417351.0,0.51089952
511,-480394752.0,0.46014192
511,-480372145.0,0.435971616
511,-480349466.0,0.4367773
511,-480326906.0,0.46175324
511,-480304294.0,0.51009384
511,-480281709.0,0.59468984
511,-480259116.0,0.6946441
511,-480236557.0,0.79051952
511,-480213962.0,0.8896681
511,-480191422.0,0.95815052
511,-480168829.0,1.0193819
511,-480146235.0,1.047631
511,-480123675.0,1.0613276
511,-480101096.0,1.0468253
511,-480078495.0,0.99118332
511,-480055922.0,0.9299519
511,-480033356.0,0.85019
511,-480010858.0,0.7776287
511,-479988304.0,0.70431216
511,-479965715.0,0.64308084
511,-479943128.0,0.6027466
511,-479920576.0,0.59388416
511,-479897988.0,0.60113524
511,-479875381.0,0.63421832
511,-479852802.0,0.6890043
511,-479830242.0,0.7647379
511,-479807688.0,0.85099568
511,-479785100.0,0.90900432
511,-479762529.0,0.96701304
511,-479739920.0,1.0056856
511,-479717345.0,1.035546
511,-479694815.0,1.0161593
511,-479672210.0,0.98151517
511,-479649492.0,0.9259235
511,-479626942.0,0.8590524
511,-479604400.0,0.7647379
511,-479581849.0,0.664834
511,-479559352.0,0.5866331
511,-479536782.0,0.51009384
511,-479514185.0,0.45853056
511,-479491584.0,0.43436024
511,-479468972.0,0.43436024
511,-479446388.0,0.467392984
511,-479423712.0,0.5197619
511,-479401154.0,0.5954955
511,-479378597.0,0.68658732
511,-479356003.0,0.7808514
511,-479333452.0,0.8671092
511,-479310918.0,0.9396201
511,-479288364.0,1.0081025
511,-479265772.0,1.0379629
511,-479243179.0,1.0460197
511,-479220592.0,1.014548
511,-479198063.0,0.9734584
511,-479175528.0,0.91464408
511,-479152931.0,0.85180136
511,-479130336.0,0.769571936
511,-479107665.0,0.69947816
511,-479085078.0,0.6471092
511,-479062530.0,0.6156375
511,-479039977.0,0.5963012
511,-479017421.0,0.6075807
511,-478994868.0,0.6422751
511,-478972325.0,0.70108948
511,-478949732.0,0.769571936
511,-478927076.0,0.8437446
511,-478904545.0,0.90981
511,-478882050.0,0.96781868
511,-478859484.0,1.0193819
511,-478836876.0,1.0379629
511,-478814279.0,1.0282445
512,-478791650.0,0.98715496
512,-478769033.0,0.93800868
512,-478746453.0,0.8558297
512,-478723886.0,0.7615152
512,-478701350.0,0.676919136
512,-478678684.0,0.576965
512,-478656196.0,0.5044541
512,-478633621.0,0.459336232
512,-478610958.0,0.427914836
512,-478588283.0,0.43113756
512,-478565678.0,0.46497596
512,-478543082.0,0.5197619
512,-478520536.0,0.6059693
512,-478497973.0,0.69947816
512,-478475399.0,0.7961593
512,-478452831.0,0.888056768
512,-478430166.0,0.964596032
512,-478407501.0,1.0234103
512,-478384908.0,1.0524651
512,-478362321.0,1.0613276
512,-478339744.0,1.0411856
512,-478317150.0,0.99037768
512,-478294574.0,0.9162555
512,-478272008.0,0.8372991
512,-478249443.0,0.77682308
512,-478226841.0,0.7018952
512,-478204281.0,0.6446921
512,-478181720.0,0.6003296
512,-478159187.0,0.59066148
512,-478136599.0,0.6075807
512,-478114057.0,0.6487205
512,-478091495.0,0.6930327
512,-478068957.0,0.76312652
512,-478046361.0,0.85019
512,-478023876.0,0.9138384
512,-478001335.0,0.9742641
512,-477978786.0,1.0105195
512,-477956180.0,1.0234103
512,-477933588.0,1.0177706
512,-477910992.0,0.9766812
512,-477888447.0,0.9194781
512,-477865895.0,0.8461616
512,-477843372.0,0.7599039
512,-477820795.0,0.676919136
512,-477798146.0,0.5753536
512,-477775602.0,0.5060655
512,-477753047.0,0.45772488
512,-477730438.0,0.4335546
512,-477707905.0,0.43194324
512,-477685317.0,0.4665873
512,-477662754.0,0.52862436
512,-477640147.0,0.6059693
512,-477617602.0,0.70431216
512,-477595005.0,0.7848798
512,-477572461.0,0.8759716
512,-477549927.0,0.9468711
512,-477527377.0,1.012131
512,-477504831.0,1.0371573
512,-477482234.0,1.0444083
512,-477459624.0,1.014548
512,-477437094.0,0.9718471
512,-477414524.0,0.90900432
512,-477391947.0,0.838104836
512,-477369279.0,0.7647379
512,-477346734.0,0.70028376
512,-477324135.0,0.6414694
512,-477301594.0,0.6156375
512,-477279034.0,0.60435796
512,-477256430.0,0.6124147
512,-477233884.0,0.6471092
512,-477211347.0,0.705923568
512,-477188664.0,0.77360032
512,-477166073.0,0.8534126
512,-477143533.0,0.91544976
512,-477120943.0,0.9766812
512,-477098400.0,1.0258274
512,-477075808.0,1.0371573
512,-477053206.0,1.0282445
513,-477030594.0,0.9887663
