vuelta,tiempo_us,voltaje_V
748,-516741219.0,0.438388616
748,-516718539.0,0.41094528
748,-516695913.0,0.3795239
748,-516673352.0,0.3384344
748,-516650799.0,0.30620736
748,-516628187.0,0.27236894
748,-516605580.0,0.25625542
748,-516582965.0,0.23933622
748,-516560374.0,0.236919216
748,-516537693.0,0.2538384
748,-516515150.0,0.27800868
748,-516492569.0,0.30620736
748,-516469981.0,0.3392401
748,-516447407.0,0.3827466
748,-516424877.0,0.41582972
748,-516402268.0,0.44241704
748,-516379665.0,0.46175324
748,-516357084.0,0.47625544
748,-516334497.0,0.4641703
748,-516311929.0,0.452085152
748,-516289263.0,0.4198581
748,-516266709.0,0.38516364
748,-516244116.0,0.34407416
748,-516221527.0,0.30943006
748,-516198919.0,0.27559168
748,-516176330.0,0.24981002
748,-516153723.0,0.237724868
748,-516131050.0,0.23208516
748,-516108473.0,0.240947584
748,-516085800.0,0.2610895
748,-516063244.0,0.2917052
748,-516040690.0,0.33118334
748,-516018085.0,0.37227284
748,-515995488.0,0.4004715
748,-515972937.0,0.4327489
748,-515950364.0,0.46255892
748,-515927788.0,0.473838432
748,-515905118.0,0.46578164
748,-515882518.0,0.4665873
748,-515859948.0,0.44080568
748,-515837373.0,0.41094528
748,-515814761.0,0.36905012
748,-515792152.0,0.33279468
748,-515769564.0,0.28687114
748,-515746963.0,0.25706112
748,-515724358.0,0.23530784
748,-515701772.0,0.23450216
748,-515679169.0,0.23611354
748,-515656567.0,0.25303274
748,-515633951.0,0.27317464
748,-515611362.0,0.3158755
748,-515588808.0,0.35454796
748,-515566217.0,0.39563744
748,-515543612.0,0.42630348
748,-515521017.0,0.452085152
748,-515498338.0,0.4730327
748,-515475790.0,0.47625544
748,-515453187.0,0.46981004
748,-515430600.0,0.4536965
748,-515408039.0,0.41744108
748,-515385441.0,0.38516364
748,-515362828.0,0.35374228
748,-515340221.0,0.30943006
748,-515317605.0,0.274786
748,-515295116.0,0.25222704
748,-515272510.0,0.2433646
748,-515249974.0,0.236919216
748,-515227303.0,0.2538384
748,-515204763.0,0.27881438
748,-515182159.0,0.3013733
748,-515159618.0,0.34407416
748,-515137038.0,0.37630124
748,-515114457.0,0.4077226
748,-515091901.0,0.43919432
748,-515069338.0,0.4569192
748,-515046799.0,0.47867244
748,-515024202.0,0.46578164
748,-515001594.0,0.4569192
749,-514979021.0,0.438388616
749,-514956330.0,0.40530556
749,-514933716.0,0.3698558
749,-514911153.0,0.33279468
749,-514888554.0,0.29895628
749,-514865931.0,0.26511788
749,-514843341.0,0.25303274
749,-514820726.0,0.237724868
749,-514798066.0,0.23853054
749,-514775442.0,0.2514214
749,-514752926.0,0.27962004
749,-514730323.0,0.30943006
749,-514707711.0,0.34487984
749,-514685109.0,0.386775
749,-514662616.0,0.42549784
749,-514640018.0,0.44805676
749,-514617426.0,0.45772488
749,-514594824.0,0.48028384
749,-514572241.0,0.4681987
749,-514549670.0,0.452085152
749,-514526987.0,0.41582972
749,-514504373.0,0.3827466
749,-514481834.0,0.340851468
749,-514459162.0,0.29976196
749,-514436556.0,0.2715633
749,-514413998.0,0.24981002
749,-514391390.0,0.23208516
749,-514368799.0,0.233696492
749,-514346117.0,0.240947584
749,-514323434.0,0.27075762
749,-514300823.0,0.29734492
749,-514278223.0,0.33279468
749,-514255653.0,0.37468984
749,-514233056.0,0.409333936
749,-514210406.0,0.4367773
749,-514187840.0,0.4633646
749,-514165305.0,0.475449736
749,-514142653.0,0.4730327
749,-514120102.0,0.46094756
749,-514097487.0,0.435971616
749,-514074817.0,0.402082836
749,-514052145.0,0.364216068
749,-514029499.0,0.33198902
749,-514006881.0,0.29895628
749,-513984288.0,0.25867244
749,-513961675.0,0.2433646
749,-513939132.0,0.22886244
749,-513916520.0,0.24255892
749,-513893927.0,0.25544976
749,-513871330.0,0.28364844
749,-513848741.0,0.31909816
749,-513826144.0,0.359382
749,-513803667.0,0.39966584
749,-513781076.0,0.42872052
749,-513758502.0,0.45611356
749,-513735902.0,0.46900432
749,-513713323.0,0.475449736
749,-513690662.0,0.467392984
749,-513667991.0,0.44563972
749,-513645391.0,0.410139616
749,-513622709.0,0.37871824
749,-513600109.0,0.34165712
749,-513577516.0,0.31023574
749,-513554895.0,0.274786
749,-513532406.0,0.24578164
749,-513509808.0,0.24658732
749,-513487232.0,0.244975968
749,-513464557.0,0.249004352
749,-513441878.0,0.27720302
749,-513419283.0,0.3110414
749,-513396740.0,0.33762876
749,-513374142.0,0.384358
749,-513351646.0,0.412606968
749,-513328979.0,0.44725108
749,-513306385.0,0.46175324
749,-513283784.0,0.473838432
749,-513261123.0,0.46981004
750,-513238482.0,0.4528908
